timestamp(ms);ADC;ADC>ADC;
"1769542189.908";;"1950";
"1769551387.058";"178";;
"1769551387.059";"175";;
"1769551387.06";"176";;
"1769551387.062";"177";;
"1769551387.064";"178";;
"1769551387.071";"175";;
"1769551387.074";"177";;
"1769551387.076";"176";;
"1769551387.078";"180";;
"1769551387.08";"180";;
"1769551387.082";"176";;
"1769551387.084";"178";;
"1769551387.086";"180";;
"1769551387.088";"183";;
"1769551387.09";"180";;
"1769551387.092";"177";;
"1769551387.094";"178";;
"1769551387.096";"176";;
"1769551387.098";"176";;
"1769551387.1";"178";;
"1769551387.102";"179";;
"1769551387.104";"175";;
"1769551387.106";"162";;
"1769551387.108";"178";;
"1769551387.11";"179";;
"1769551387.112";"175";;
"1769551387.114";"176";;
"1769551387.116";"176";;
"1769551387.118";"180";;
"1769551387.12";"176";;
"1769551387.122";"163";;
"1769551387.124";"176";;
"1769551387.126";"179";;
"1769551387.128";"176";;
"1769551387.13";"175";;
"1769551387.132";"176";;
"1769551387.134";"178";;
"1769551387.136";"177";;
"1769551387.138";"176";;
"1769551387.14";"176";;
"1769551387.142";"179";;
"1769551387.144";"176";;
"1769551387.146";"179";;
"1769551387.148";"178";;
"1769551387.15";"178";;
"1769551387.152";"179";;
"1769551387.154";"174";;
"1769551387.156";"176";;
"1769551387.158";"176";;
"1769551387.16";"176";;
"1769551387.162";"175";;
"1769551387.164";"176";;
"1769551387.166";"176";;
"1769551387.168";"177";;
"1769551387.17";"176";;
"1769551387.172";"177";;
"1769551387.174";"178";;
"1769551387.176";"177";;
"1769551387.178";"161";;
"1769551387.18";"179";;
"1769551387.182";"176";;
"1769551387.184";"175";;
"1769551387.186";"177";;
"1769551387.188";"172";;
"1769551387.19";"173";;
"1769551387.192";"178";;
"1769551387.194";"177";;
"1769551387.196";"177";;
"1769551387.198";"174";;
"1769551387.2";"177";;
"1769551387.202";"175";;
"1769551387.204";"179";;
"1769551387.206";"176";;
"1769551387.208";"175";;
"1769551387.21";"178";;
"1769551387.212";"178";;
"1769551387.214";"180";;
"1769551387.216";"181";;
"1769551387.218";"176";;
"1769551387.22";"178";;
"1769551387.222";"178";;
"1769551387.224";"179";;
"1769551387.226";"177";;
"1769551387.228";"176";;
"1769551387.23";"179";;
"1769551387.232";"187";;
"1769551387.234";"178";;
"1769551387.236";"181";;
"1769551387.238";"179";;
"1769551387.24";"178";;
"1769551387.242";"178";;
"1769551387.244";"177";;
"1769551387.246";"177";;
"1769551387.248";"181";;
"1769551387.25";"170";;
"1769551387.252";"177";;
"1769551387.254";"180";;
"1769551387.256";"169";;
"1769551387.258";"180";;
"1769551387.26";"174";;
"1769551387.262";"177";;
"1769551387.264";"176";;
"1769551387.266";"177";;
"1769551387.268";"180";;
"1769551387.27";"178";;
"1769551387.272";"179";;
"1769551387.274";"181";;
"1769551387.276";"165";;
"1769551387.278";"176";;
